項目名,説明
timestamp,測定開始時刻をUnix時刻で記録した値
duration_sec,実際に測定した時間を秒で示す
total_frames,測定中に処理した総フレーム数
warmup_frames_skipped,集計から除外したウォームアップフレーム数
fps,測定全体の平均フレームレート
avg_detections,1フレームあたりの平均検出数
host_memory_label,本体RAM容量を表すラベル
model,使用したHEFモデルファイルのパス
resolution,カメラ入力解像度
model_input_resolution,モデルが受け取る入力解像度
resize_count,モデル入力に合わせてリサイズしたフレーム数
no_resize_count,リサイズせずに処理したフレーム数
latency_mean_ms,1フレーム処理時間の平均
latency_std_ms,1フレーム処理時間の標準偏差
latency_min_ms,1フレーム処理時間の最小値
latency_max_ms,1フレーム処理時間の最大値
latency_p50_ms,1フレーム処理時間の中央値
latency_p95_ms,1フレーム処理時間の95パーセンタイル
latency_p99_ms,1フレーム処理時間の99パーセンタイル
cpu_mean,Pi本体CPU使用率の平均
cpu_std,Pi本体CPU使用率の標準偏差
cpu_min,Pi本体CPU使用率の最小値
cpu_max,Pi本体CPU使用率の最大値
cpu_p50,Pi本体CPU使用率の中央値
cpu_p95,Pi本体CPU使用率の95パーセンタイル
cpu_p99,Pi本体CPU使用率の99パーセンタイル
memory_used_mb_mean,Pi本体メモリ使用量の平均
memory_used_mb_std,Pi本体メモリ使用量の標準偏差
memory_used_mb_min,Pi本体メモリ使用量の最小値
memory_used_mb_max,Pi本体メモリ使用量の最大値
memory_used_mb_p50,Pi本体メモリ使用量の中央値
memory_used_mb_p95,Pi本体メモリ使用量の95パーセンタイル
memory_used_mb_p99,Pi本体メモリ使用量の99パーセンタイル
memory_mean,Pi本体メモリ使用率の平均
memory_std,Pi本体メモリ使用率の標準偏差
memory_min,Pi本体メモリ使用率の最小値
memory_max,Pi本体メモリ使用率の最大値
memory_p50,Pi本体メモリ使用率の中央値
memory_p95,Pi本体メモリ使用率の95パーセンタイル
memory_p99,Pi本体メモリ使用率の99パーセンタイル
swap_percent_mean,スワップ使用率の平均
swap_percent_std,スワップ使用率の標準偏差
swap_percent_min,スワップ使用率の最小値
swap_percent_max,スワップ使用率の最大値
swap_percent_p50,スワップ使用率の中央値
swap_percent_p95,スワップ使用率の95パーセンタイル
swap_percent_p99,スワップ使用率の99パーセンタイル
swap_used_mb_mean,スワップ使用量の平均
swap_used_mb_std,スワップ使用量の標準偏差
swap_used_mb_min,スワップ使用量の最小値
swap_used_mb_max,スワップ使用量の最大値
swap_used_mb_p50,スワップ使用量の中央値
swap_used_mb_p95,スワップ使用量の95パーセンタイル
swap_used_mb_p99,スワップ使用量の99パーセンタイル
cpu_temp_mean,Pi本体CPU温度の平均
cpu_temp_std,Pi本体CPU温度の標準偏差
cpu_temp_min,Pi本体CPU温度の最小値
cpu_temp_max,Pi本体CPU温度の最大値
cpu_temp_p50,Pi本体CPU温度の中央値
cpu_temp_p95,Pi本体CPU温度の95パーセンタイル
cpu_temp_p99,Pi本体CPU温度の99パーセンタイル
hailo_cpu_utilization_mean,Hailo側CPU使用率の平均
hailo_cpu_utilization_std,Hailo側CPU使用率の標準偏差
hailo_cpu_utilization_min,Hailo側CPU使用率の最小値
hailo_cpu_utilization_max,Hailo側CPU使用率の最大値
hailo_cpu_utilization_p50,Hailo側CPU使用率の中央値
hailo_cpu_utilization_p95,Hailo側CPU使用率の95パーセンタイル
hailo_cpu_utilization_p99,Hailo側CPU使用率の99パーセンタイル
hailo_nnc_utilization_mean,HailoのNNC使用率の平均
hailo_nnc_utilization_std,HailoのNNC使用率の標準偏差
hailo_nnc_utilization_min,HailoのNNC使用率の最小値
hailo_nnc_utilization_max,HailoのNNC使用率の最大値
hailo_nnc_utilization_p50,HailoのNNC使用率の中央値
hailo_nnc_utilization_p95,HailoのNNC使用率の95パーセンタイル
hailo_nnc_utilization_p99,HailoのNNC使用率の99パーセンタイル
hailo_ram_percent_mean,HAT側RAM使用率の平均
hailo_ram_percent_std,HAT側RAM使用率の標準偏差
hailo_ram_percent_min,HAT側RAM使用率の最小値
hailo_ram_percent_max,HAT側RAM使用率の最大値
hailo_ram_percent_p50,HAT側RAM使用率の中央値
hailo_ram_percent_p95,HAT側RAM使用率の95パーセンタイル
hailo_ram_percent_p99,HAT側RAM使用率の99パーセンタイル
hailo_ram_total_mb_mean,HAT側RAM総量の平均
hailo_ram_total_mb_std,HAT側RAM総量の標準偏差
hailo_ram_total_mb_min,HAT側RAM総量の最小値
hailo_ram_total_mb_max,HAT側RAM総量の最大値
hailo_ram_total_mb_p50,HAT側RAM総量の中央値
hailo_ram_total_mb_p95,HAT側RAM総量の95パーセンタイル
hailo_ram_total_mb_p99,HAT側RAM総量の99パーセンタイル
hailo_ram_used_mb_mean,HAT側RAM使用量の平均
hailo_ram_used_mb_std,HAT側RAM使用量の標準偏差
hailo_ram_used_mb_min,HAT側RAM使用量の最小値
hailo_ram_used_mb_max,HAT側RAM使用量の最大値
hailo_ram_used_mb_p50,HAT側RAM使用量の中央値
hailo_ram_used_mb_p95,HAT側RAM使用量の95パーセンタイル
hailo_ram_used_mb_p99,HAT側RAM使用量の99パーセンタイル
hailo_temp_c_mean,Hailo温度の平均
hailo_temp_c_std,Hailo温度の標準偏差
hailo_temp_c_min,Hailo温度の最小値
hailo_temp_c_max,Hailo温度の最大値
hailo_temp_c_p50,Hailo温度の中央値
hailo_temp_c_p95,Hailo温度の95パーセンタイル
hailo_temp_c_p99,Hailo温度の99パーセンタイル
hailo_ts0_temp_c_mean,Hailo温度センサー0の平均
hailo_ts0_temp_c_std,Hailo温度センサー0の標準偏差
hailo_ts0_temp_c_min,Hailo温度センサー0の最小値
hailo_ts0_temp_c_max,Hailo温度センサー0の最大値
hailo_ts0_temp_c_p50,Hailo温度センサー0の中央値
hailo_ts0_temp_c_p95,Hailo温度センサー0の95パーセンタイル
hailo_ts0_temp_c_p99,Hailo温度センサー0の99パーセンタイル
hailo_ts1_temp_c_mean,Hailo温度センサー1の平均
hailo_ts1_temp_c_std,Hailo温度センサー1の標準偏差
hailo_ts1_temp_c_min,Hailo温度センサー1の最小値
hailo_ts1_temp_c_max,Hailo温度センサー1の最大値
hailo_ts1_temp_c_p50,Hailo温度センサー1の中央値
hailo_ts1_temp_c_p95,Hailo温度センサー1の95パーセンタイル
